Rank,Title,Employees,Sector,Industry,Hqcity,Ceo,Ceo-title,Revenues,Revchange,Profits,Prftchange,Assets
192,Aramark,217250,Business Services,Diversified Outsourcing Services,Philadelphia,Eric J. Foss,"Chairman, President & Chief Executive Officer",14416,0.6,287.8,22,10582
193,CBS,18410,Media,Entertainment,New York,Leslie Moonves,Chairman & Chief Executive Officer,14386,3.6,1261,-10.8,24238
194,AES,19000,Energy,Utilities: Gas and Electric,Arlington,Andres R. Gluski,"President, Chief Executive Officer & Director",14287,-4.5,-1130,-469.3,36119
195,WellCare Health Plans,7400,Health Care,Health Care: Insurance and Managed Care,Tampa,Kenneth A. Burdick,Chief Executive Officer & Director,14237,2.5,242.1,104.1,6153
196,FirstEnergy,15707,Energy,Utilities: Gas and Electric,Akron,Charles E. Jones,"President, Chief Executive Officer & Director",14156,-3.1,-6177,"-1,168.70",43148
197,Conagra Brands,20900,"Food, Beverages & Tobacco",Food Consumer Products,Chicago,Sean M. Connolly,"President, Chief Executive Officer & Director",14134,-10.8,-677,"-1,168.70",13391
198,Synnex,110000,Wholesalers,Wholesalers: Electronics and Office Equipment,Fremont,Kevin M. Murai,"President, Chief Executive Officer & Director",14062,5.4,234.9,12.7,5223
199,CDW,8516,Technology,Information Technology Services,Lincolnshire,Thomas E. Richards,"Chairman, President & Chief Executive Officer",13982,7.6,424.4,5.3,6948
200,Textron,36000,Aerospace & Defense,Aerospace and Defense,Providence,Scott C. Donnelly,"Chairman, President & Chief Executive Officer",13788,2.7,962,38,15358
201,Waste Management,41200,Business Services,Waste Management,Houston,James C. Fish Jr.,"President, Chief Executive Officer & Director",13609,5,1182,57,20859
202,Illinois Tool Works,50000,Industrials,Industrial Machinery,Glenview,E. Scott Santi,"Chairman, President & Chief Executive Officer",13599,1.4,2035,7.2,15201
203,Office Depot,38000,Retailing,Specialty Retailers: Other,Boca Raton,Gerry P. Smith,Chief Executive Officer & Director,13585,-6.2,529,"6,512.50",5540
204,Monsanto,22450,Chemicals,Chemicals,St. Louis,Hugh Grant,Chairman & Chief Executive Officer,13502,-10,1336,-42.3,19736
205,Cognizant Technology Solutions,260200,Technology,Information Technology Services,Teaneck,Francisco D'Souza,Chief Executive Officer & Director,13487,8.6,1553,-4.3,14262
206,Texas Instruments,29865,Technology,Semiconductors and Other Electronic Components,Dallas,Richard K. Templeton,"Chairman, President & Chief Executive Officer",13370,2.8,3595,20.4,16431
207,Lincoln National,9057,Financials,"Insurance: Life, Health (Stock)",Radnor,Dennis R. Glass,"President, Chief Executive Officer & Director",13330,-1.8,1192,3.3,261627
208,Newell Brands,53400,Household Products,"Home Equipment, Furnishings",Hoboken,Michael B. Polk,Chief Executive Officer & Director,13264,122.1,527.8,50.8,33838
209,Land O’Lakes,10000,"Food, Beverages & Tobacco",Food Consumer Products,Arden Hills,Christopher J. Policinski,"President, Chief Executive Officer & Director",13233,0.6,244.9,-20.4,8305
